material_name_T,S_ethylene,task,time (min),total_metal_loading,particle_diameter (nm),std_dev (nm),surface_area (m^2/g),av_IP (eV),av_EA (eV),av_PE,av_bulk_int_dist (A),av_E_coh (eV/atom),av_B_0 (Gpa),av_mu_C_critical_surf (eV),av_mu_C_critical_subsurf (eV),av_E_b_C_subsurf (eV),av_E_def_subsurf (eV),av_delta_M1_M2_subsurf,av_BE_H_surf (eV),av_W_change_H (eV),av_d_band_center_surf (eV),av_BE_H_subsurf (eV)
PdAg_1_9_100,0.53315947077008,2,189.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.535450787355627,2,202.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.533730369654376,2,216.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.533878502232092,2,243.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.536809812862325,2,256.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.537212183665018,2,270.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.537419375772682,2,283.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.537090488021234,2,297.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.535767035120607,2,310.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.524306676575037,2,324.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.539770310472188,2,337.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.548402340112182,2,391.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_100,0.551361831646045,2,405.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.5579001507964,3,13.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.74655796870265,3,27.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.698892758281752,3,40.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.663236455124033,3,94.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.659213332906893,3,121.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.666496544102895,3,135.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.658460665144443,3,148.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.659844593694884,3,162.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.650463346742773,3,175.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.650331246157127,3,189.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.651574815400185,3,202.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.652026890766543,3,216.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.648258725996299,3,229.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.651910595006034,3,243.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.643276411021855,3,256.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.644544356355375,3,270.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.642677706630666,3,297.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.646931625837179,3,324.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.645595689139464,3,337.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.645050781571922,3,351.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.640238616765084,3,378.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.637782668381996,3,391.5,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_9_150,0.646783292227075,3,405.0,0.0127,6,3,73,7.6521,1.2298,1.957,2.8754,3.036,107.82,-4.052,-4.471,4.677,0.206,0.07232,-2.16,0.103,-3.871,-1.432
PdAg_1_5_100,0.515491479007017,2,40.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.536799184944126,2,54.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.550093657647005,2,81.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.55578530674017,2,108.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.558290701126613,2,121.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.556549354649605,2,135.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.557568602851016,2,162.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.560259388518047,2,175.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.558144024755572,2,189.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.557318060372457,2,202.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.557984348329202,2,216.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.567095306802105,2,243.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.561948859114687,2,256.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.564185875789411,2,270.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.568818268094879,2,310.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.566907484779393,2,324.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.572628404348326,2,351.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.575618417389715,2,364.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.574814270926841,2,378.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.581529119492914,2,391.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_100,0.584522534583902,2,405.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.279255351535784,3,13.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.635764978836398,3,27.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.640947586862076,3,40.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.651541307298793,3,54.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.643143329333146,3,67.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.642452015734094,3,81.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.639720600054191,3,94.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.643659964121301,3,121.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.640576481581306,3,148.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.631011626036508,3,175.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.627676843729798,3,189.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.63401947678291,3,202.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.640065227235497,3,216.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.62602858784993,3,229.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.613000074026251,3,243.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.637891291121822,3,283.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.637833199728154,3,310.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.641635814231218,3,337.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.642036567641097,3,351.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.64323227831676,3,364.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.637974120367465,3,378.0,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_5_150,0.637767346971242,3,391.5,0.0136,6,4,78,7.70283333333333,1.18033333333333,1.975,2.86633333333333,3.1,113.833333333333,-4.26666666666667,-4.705,4.90833333333333,0.203333333333333,0.070666666666667,-2.21333333333333,0.098333333333333,-3.71833333333333,-1.51333333333333
PdAg_1_1_100,-0.971727108669458,2,13.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.980511375119314,2,27.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.965455265281135,2,40.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.92716109566763,2,54.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.852997798991813,2,67.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.753001732321809,2,81.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.559385961503006,2,108.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.4916379417262,2,121.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.357878093948184,2,162.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.330384719654095,2,175.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.303430334356262,2,189.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.296439163570044,2,202.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.276348496531161,2,216.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.25763516435926,2,229.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.241039954673648,2,243.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.225737249601826,2,256.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.210796327544086,2,270.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.199027578756701,2,283.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.187577658694973,2,297.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.176411982022389,2,310.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.16490591733295,2,324.0,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
PdAg_1_1_100,-0.150781299378213,2,337.5,0.0143,9,4,69,7.9565,0.933,2.065,2.821,3.42,143.9,-5.34,-5.875,6.065,0.19,0.0624,-2.48,0.075,-2.955,-1.92
