element,crystal_structure,surface,IP,EA,PE,bulk_int_dist,E_coh,B_0,mu_C_critical_surf,mu_C_critical_subsurf,E_b_C_subsurf,E_def_subsurf,delta_M1_M2_subsurf,BE_H_surf,W_change_H,d_band_center_surf,BE_H_subsurf
Fe,bcc,(110),7.902,0.153,1.83,2.46,4.28,163,-7.77,-7.5,8.27,0.77,8.57,-2.99,-0.04,-0.9,-2.01
Co,hcp,(0001),7.881,0.662,1.88,2.497,4.43,186,-6.63,-6.93,7.5,0.57,8.1,-2.89,-0.04,-1.48,-2.09
Ni,fcc,(111),7.64,1.157,1.91,2.493,4.44,179,-6.83,-7.57,8.08,0.51,8.43,-2.89,0.02,-1.56,-2.19
Cu,fcc,(111),7.726,1.236,1.9,2.556,3.48,133,-5.07,-5.7,6.05,0.35,9.34,-2.39,0.08,-2.52,-1.75
Ru,hcp,(0001),7.459,1.143,2.28,2.65,6.74,303,-6.94,-6.29,7.25,0.96,6.3,-2.97,0.03,-1.89,-2.04
Rh,fcc,(111),7.459,1.143,2.28,2.539,5.72,282,-7.09,-7.15,7.78,0.63,7.72,-2.81,0.01,-2.02,-2.05
Pd,fcc,(111),8.337,0.562,2.2,2.753,3.9,189,-6.95,-7.63,7.8,0.17,5,-2.88,0.04,-1.81,-2.53
Ag,fcc,(111),7.576,1.304,1.93,2.889,2.94,98.8,-3.73,-4.12,4.33,0.21,7.48,-2.08,0.11,-4.1,-1.31
Pt,fcc,(111),8.959,2.125,2.28,2.772,5.85,277,-7.07,-6.67,7.19,0.52,8.87,-2.72,-0.06,-2.52,-2.04
Au,fcc,(111),9.226,2.309,2.54,2.879,3.81,166,-4.71,-4.37,4.66,0.29,9.83,-2.22,-0.16,-3.33,-1.47
